CNPJ Entidade	Nome Entidade	Número Convênio	Órgão Concedente	Motivo Impedimento
00057491000107	CONSORCIO INTERMUNICIPAL DO VALE DO JIQUIRICA	401004	MINISTERIO DO MEIO AMBIENTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00062712000135	APAE ASSOC.DE PAIS E AMIGOS DOS EXCEPCIONAIS C.VERDE	526939	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00077568000100	INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA	400364	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00077568000100	INSTITUTO CASA DA CULTURA AFRO-BRASILEIRA	470940	MINISTERIO DA CULTURA	IRREGULARIDADES NA EXECUÇÃO
00084400000122	OBRAS DE ASSISTENCIA SOCIAL SAO RAFAEL	077797	MINISTERIO DA SAUDE	INSTAURAÇÃO DE TCE
00088022000155	UNIAO PAULISTA DE KARAOKE	637180	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECUÇÃO
00089788000154	FUND DE AP A PESQ AG DES E TREIN DE MAO DE OBRA DE PTU	114361	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
00093821000110	INSTITUTO BRASILEIRO DA FLORICULTURA IBRAFLOR	113965	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA EXECUÇÃO
00117144000122	ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS S A GRAMA	466007	MINISTERIO DA EDUCACAO	INSTAURAÇÃO DE TCE
00129413000170	INST DE PESQUISAS SISTEMICAS E DESENV DE REDES SOCIAIS	708567	PRESIDENCIA DA REPUBLICA	SICONV (MOTIVO NÃO ESPECIFICADO)
00145206000100	COMITE INTERTRIBAL - MEMORIA E CIENCIA INDIGENA (ITC)	707376	MINISTERIO DO ESPORTE	SICONV (MOTIVO NÃO ESPECIFICADO)
00148580000169	CETAP CENTRO TECNICO DE ASSESSORIA E PLANEJ COMUNITARIO	734355	MINISTERIO DA CULTURA	SICONV (MOTIVO NÃO ESPECIFICADO)
00162034000182	ASSOCIACAO PAIS E AMIGOS EXCEPCIONAIS APAE ANAURILANDIA	565043	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	435756	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00182395000190	ABC ASSOCIACAO BENEFICENTE CRISTA	443070	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00189271000137	CASA DA PAZ	321331	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00197010000169	ASSOCIACAO DOS PEQ PRODUT RURAIS DAS COMUNIDADES ANHUMA	540700	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECUÇÃO
00204293000129	FUNDACAO ISRAEL PINHEIRO	650416	MINISTERIO DA INTEGRACAO NACIONAL	INSTAURAÇÃO DE TCE
00234260000121	ASSOCIACAO MATOGROSSENSE DOS MUNICIPIOS	525025	MINISTERIO DO TURISMO	INSTAURAÇÃO DE TCE
00234260000121	ASSOCIACAO MATOGROSSENSE DOS MUNICIPIOS	526068	MINISTERIO DO TURISMO	INSTAURAÇÃO DE TCE
00234260000121	ASSOCIACAO MATOGROSSENSE DOS MUNICIPIOS	531882	MINISTERIO DO TURISMO	INSTAURAÇÃO DE TCE
00234260000121	ASSOCIACAO MATOGROSSENSE DOS MUNICIPIOS	531893	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECUÇÃO
00234260000121	ASSOCIACAO MATOGROSSENSE DOS MUNICIPIOS	533780	MINISTERIO DO TURISMO	INSTAURAÇÃO DE TCE
00234260000121	ASSOCIACAO MATOGROSSENSE DOS MUNICIPIOS	534778	MINISTERIO DO TURISMO	INSTAURAÇÃO DE TCE
00234260000121	ASSOCIACAO MATOGROSSENSE DOS MUNICIPIOS	534783	MINISTERIO DO TURISMO	INSTAURAÇÃO DE TCE
00234260000121	ASSOCIACAO MATOGROSSENSE DOS MUNICIPIOS	537416	MINISTERIO DO TURISMO	INSTAURAÇÃO DE TCE
00234260000121	ASSOCIACAO MATOGROSSENSE DOS MUNICIPIOS	537428	MINISTERIO DO TURISMO	INSTAURAÇÃO DE TCE
00249183000183	ASSOCIACAO COMUNITARIA DA QE 19 DO GUARA II	577197	MINISTERIO DO ESPORTE	INSTAURAÇÃO DE TCE
00273811000166	SOCIEDADE PESTALOZZI DO MUNICIPIO DE JERONIMO MONTEIRO	482857	MINISTERIO DA EDUCACAO	INSTAURAÇÃO DE TCE
00278887000184	ASSOCIACAO LEGIONARIAS DOB ESTAR SOC BREJINHO DE NAZARE	040326	MINISTERIO DO PLANEJAMENTO,ORCAMENTO E GESTAO	IRREGULARIDADES NA EXECUÇÃO
00312051000159	ASSOCIACO PARAENSE DE APOIO AS COMUNIDADES CARENTES	750557	PRESIDENCIA DA REPUBLICA	SICONV (MOTIVO NÃO ESPECIFICADO)
00315554000188	ECAIG ESCOLA DE CAPOEIRA ANGOLA IRMAOS GEMEOS	533971	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00315795000127	CONFEDERACAO BRASILEIRA DE MUAY THAI BOXE TAILANDES	700522	MINISTERIO DO ESPORTE	SICONV (MOTIVO NÃO ESPECIFICADO)
00316711000170	SINDICATO DAS INDUSTRIAS DO VESTUARIO DO D.F	523608	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	466125	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	468544	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	468551	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	480647	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	489004	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	502268	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	513510	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	515323	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
00336154000159	CENTRO DE CAPACITACAO CANUDOS - CECAC	534358	MINISTERIO DA INTEGRACAO NACIONAL	INSTAURAÇÃO DE TCE
00340428000183	INSTITUTO AGRO-AMBIENTAL DO PARA - INAGRO	577202	MINISTERIO DA EDUCACAO	INSTAURAÇÃO DE TCE
00343575000107	ASSOCIACAO DOS PEQ AGRICULTORES DA FAZENDA MATANCA	317929	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
00350334000195	SINDICATO DOS PRODUTORES DE FRUTAS DO ESTADO DO CEARA	311880	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
00350334000195	SINDICATO DOS PRODUTORES DE FRUTAS DO ESTADO DO CEARA	334693	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
00355863000181	ASSOCIACAO EXCOLA	638897	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA EXECUÇÃO
00361196000140	ACAO CRISTA PRO GENTE	513360	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00361196000140	ACAO CRISTA PRO GENTE	571339	MINISTERIO DO ESPORTE	IRREGULARIDADES NA EXECUÇÃO
00366849000183	INSTITUTO EUVALDO LODI DO DISTRITO FEDERAL	383663	MINISTERIO DAS CIDADES	IRREGULARIDADES NA EXECUÇÃO
00391942000148	INSTITUTO DE PROMOCAO AGRICOLA E DESENVOLVIMENTO RURAL	374007	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INEXECUÇÃO DO OBJETO (TOTAL OU PARCIAL)
00394717000165	ASSOCIACAO BAHIANA DOS ARTISTAS INDEPENDENTES	585738	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	700022	MINISTERIO DO TURISMO	SICONV (MOTIVO NÃO ESPECIFICADO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	703166	MINISTERIO DO TURISMO	SICONV (MOTIVO NÃO ESPECIFICADO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	703272	MINISTERIO DO TURISMO	SICONV (MOTIVO NÃO ESPECIFICADO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	734952	MINISTERIO DO TURISMO	SICONV (MOTIVO NÃO ESPECIFICADO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	736277	MINISTERIO DO TURISMO	SICONV (MOTIVO NÃO ESPECIFICADO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	736919	MINISTERIO DO TURISMO	SICONV (MOTIVO NÃO ESPECIFICADO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	741707	MINISTERIO DO TURISMO	SICONV (MOTIVO NÃO ESPECIFICADO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	742131	MINISTERIO DO TURISMO	SICONV (MOTIVO NÃO ESPECIFICADO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	744043	MINISTERIO DO TURISMO	SICONV (MOTIVO NÃO ESPECIFICADO)
00409688000168	INTEGRACAO DO PROGRESSO E DESENVOLVIMENTO NACIONAL	748415	MINISTERIO DA CULTURA	SICONV (MOTIVO NÃO ESPECIFICADO)
00413717000165	INSTITUTO DE TECNOLOGIA E DES ECONOMICO E SOCIAL ITEDE	498845	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00419895000101	SINDICATO E ORGANIZACAO DAS COOPERATIVAS DO DISTRITO FE	611067	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00426922000165	INSTITUTO EQUIPE DE EDUCADORES POPULARES	516858	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00435989000166	CEDRO MULHER CENTRO DE DEFESA DOS DIREITOS DA MULHER	725694	MINISTERIO DO DESENVOLVIMENTO AGRARIO	SICONV (MOTIVO NÃO ESPECIFICADO)
00438998000100	INSTITUTO AGOSTIN CASTEJON	638260	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA EXECUÇÃO
00438998000100	INSTITUTO AGOSTIN CASTEJON	700258	MINISTERIO DO DESENVOLVIMENTO AGRARIO	SICONV (MOTIVO NÃO ESPECIFICADO)
00442235000133	ASSOCIACAO BRASILEIRA DE GAYS, LESBICAS E TRANSGENEROS	571418	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00445858000160	ASSOCIACAO RECREATIVA UNIDOS DO CRUZEIRO	629821	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00448283000139	SINDICATO ESTADUAL DOS GUIAS DE TURISMO DO CEARA	453080	MINISTERIO DO TURISMO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00459844000103	FEDERACAO DE ASSOCIACOES COMUNITARIAS DOS AGRICULTORES	562870	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00460831000146	INSTITUTO BRASILEIRO PRO-CIDADANIA	588481	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00471150000183	SOCIEDADE AMIGOS DO DEFICIENTE FISICO DO RN	397915	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00487651000158	PREFEITURA DOS CONDOMINIOS DO SETOR DE DIVERSOES SUL	608983	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00487651000158	PREFEITURA DOS CONDOMINIOS DO SETOR DE DIVERSOES SUL	636472	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA EXECUÇÃO
00495905000180	INSTITUTO DESERT	383527	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00495905000180	INSTITUTO DESERT	383709	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00497284000173	FUNDACAO BENEFICENTE SIMININO	344225	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00497826000108	ASSOCIACAO DE GARANTIA AO ATLETA PROFISSIONAL DO DF	501787	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00505867000107	ASSOCIACAO DOS SERVIDORES DO TRIBUNAL DE CONTAS DA UNIA	518049	MINISTERIO DO ESPORTE	INSTAURAÇÃO DE TCE
00516203000135	CENTRO DE TRADICOES POPULARES	311301	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00526715000182	COMISSAO ORGANIZADORA DO FMPG	701290	MINISTERIO DA CULTURA	SICONV (MOTIVO NÃO ESPECIFICADO)
00531541000146	FUNDACAO FRANCO BRASILEIRA DE PESQUISA E DESENVOLVIMENT	406421	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECUÇÃO
00532332000117	ASS.NAC.DE TRAB.EM EMPR.DE AUTO GESTAO E PART.ACIONARIA	652930	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00533086000118	ASSOCIACAO COMUNITARIA RURAL QUILOMBOLA	577602	MINISTERIO DA INTEGRACAO NACIONAL	IRREGULARIDADES NA EXECUÇÃO
00540831000156	SOCIEDADE BRASILEIRA DE CARDIOLOGIA/DISTRITO FEDERAL	629411	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECUÇÃO
00550543000182	ASSOCIACAO BRASILEIRA DOS CLUBES DA MELHOR IDADE DA BAH	634106	MINISTERIO DO TURISMO	IRREGULARIDADES NA EXECUÇÃO
00574228000195	BRIGADA MIRIM	701033	MINISTERIO DO ESPORTE	SICONV (MOTIVO NÃO ESPECIFICADO)
00577621000132	CENTRO DE EST. E COOP. BRASIL CONT. AFRICANO E DISPORA	528376	PRESIDENCIA DA REPUBLICA	IRREGULARIDADES NA EXECUÇÃO
00579818000100	ASSOCIACAO BENEFICENTE CRISTA	497513	MINISTERIO DA SAUDE	INSTAURAÇÃO DE TCE
00579818000100	ASSOCIACAO BENEFICENTE CRISTA	497961	MINISTERIO DA SAUDE	INSTAURAÇÃO DE TCE
00579818000100	ASSOCIACAO BENEFICENTE CRISTA	507092	MINISTERIO DA SAUDE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00579818000100	ASSOCIACAO BENEFICENTE CRISTA	507093	MINISTERIO DA SAUDE	INSTAURAÇÃO DE TCE
00580696000172	ASSOCIACAO DE PAIS E AMIGOS DE DEFICIENTES AUDITIVOS	483074	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECUÇÃO
00591192000158	ASSOCIACAO DA ESC.COM.FAMLIA AGRCOLA REG.C.DANTAS	490735	MINISTERIO DO DESENVOLVIMENTO AGRARIO	INSTAURAÇÃO DE TCE
00609065000139	GRUPO CATOLICO DE EVANGELIZACAO PENITENC DE BRASILIA	515512	MINISTERIO DA JUSTICA	IRREGULARIDADES NA EXECUÇÃO
00615475000192	FUNDACAO EDUCACIONAL ANTONIO DADALTO	515515	MINISTERIO DA JUSTICA	IRREGULARIDADES NA EXECUÇÃO
00615475000192	FUNDACAO EDUCACIONAL ANTONIO DADALTO	539245	MINISTERIO DA JUSTICA	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	428219	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	432906	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	472651	MINISTERIO DO DESENV,IND. E COMERCIO EXTERIOR	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	472652	MINISTERIO DO DESENV,IND. E COMERCIO EXTERIOR	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	490396	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	513849	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	522311	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	528228	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	528475	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	542834	MINISTERIO DA PESCA E AQUICULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	543330	MINISTERIO DA PESCA E AQUICULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	544576	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	566233	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	571072	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	572647	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	577963	MINISTERIO DO ESPORTE	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	591091	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	594115	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	599541	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	618970	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	622395	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECUÇÃO
00619461000147	FUNDACAO RIO MADEIRA	623813	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00619461000147	FUNDACAO RIO MADEIRA	626283	MINISTERIO DA EDUCACAO	IRREGULARIDADES NA EXECUÇÃO
00628833000100	ASSOCIACAO CULTURAL CLAUDIO SANTORO	570401	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00629001000108	INSTITUTO BRASILEIRO DE ESTUDOS E PESQUISAS COMUNITARIA	579411	MINISTERIO DA EDUCACAO	INSTAURAÇÃO DE TCE
00629001000108	INSTITUTO BRASILEIRO DE ESTUDOS E PESQUISAS COMUNITARIA	601200	PRESIDENCIA DA REPUBLICA	INSTAURAÇÃO DE TCE
00631739000100	ASSOCIACAO BRASILEIRA DAS INSTITUICOES DE PESQUISA TECN	493867	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	INSTAURAÇÃO DE TCE
00631739000100	ASSOCIACAO BRASILEIRA DAS INSTITUICOES DE PESQUISA TECN	523244	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	INSTAURAÇÃO DE TCE
00634426000105	ASSOCIACAO CEARENSE DE FLORISTAS	465507	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	INSTAURAÇÃO DE TCE
00649739000129	SOCIEDADE DE COMPUTACAO CIENTIFICA SCC	575577	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00649739000129	SOCIEDADE DE COMPUTACAO CIENTIFICA SCC	626100	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00649739000129	SOCIEDADE DE COMPUTACAO CIENTIFICA SCC	659407	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00652199000132	FUNDACAO DE APOIO A PESQUISA AGROPECUARIA E AMBIENTAL	574844	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00652199000132	FUNDACAO DE APOIO A PESQUISA AGROPECUARIA E AMBIENTAL	575486	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00671751000130	DJUMBAY	524232	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00671751000130	DJUMBAY	610982	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00671751000130	DJUMBAY	622866	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00692917000102	ASSOCIACAO DOS CRIADORES DE CAPRINOS E OVINOS DO SITIO	467506	MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO	IRREGULARIDADES NA EXECUÇÃO
00697006000160	ASSOCIACAO SERRANA AMBIENTALISTA	520498	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00713247000155	ASSOC DE COOPERACAO AGRICOLA DO ESTADO DE PERNAMBUCO	509091	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA EXECUÇÃO
00713247000155	ASSOC DE COOPERACAO AGRICOLA DO ESTADO DE PERNAMBUCO	511681	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA EXECUÇÃO
00713247000155	ASSOC DE COOPERACAO AGRICOLA DO ESTADO DE PERNAMBUCO	512401	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA EXECUÇÃO
00713247000155	ASSOC DE COOPERACAO AGRICOLA DO ESTADO DE PERNAMBUCO	533641	PRESIDENCIA DA REPUBLICA	INSTAURAÇÃO DE TCE
00713247000155	ASSOC DE COOPERACAO AGRICOLA DO ESTADO DE PERNAMBUCO	544865	MINISTERIO DA INTEGRACAO NACIONAL	INSTAURAÇÃO DE TCE
00713247000155	ASSOC DE COOPERACAO AGRICOLA DO ESTADO DE PERNAMBUCO	611044	MINISTERIO DA CULTURA	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00713247000155	ASSOC DE COOPERACAO AGRICOLA DO ESTADO DE PERNAMBUCO	619180	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA PRESTAÇÃO DE CONTAS (ATRASO, OMISSÃO OU IMPUGNAÇÃO)
00713264000192	CENTRO DE ESTUDOS E ACAO POPULAR DO PAJEU	532063	MINISTERIO DA EDUCACAO	INSTAURAÇÃO DE TCE
00715264000121	NUCLEO DE ACAO PARA O DESENVOLVIMENTO SUSTENTAVEL	428422	MINISTERIO DA CIENCIA, TECNOLOGIA E INOVACAO	IRREGULARIDADES NA EXECUÇÃO
00715264000121	NUCLEO DE ACAO PARA O DESENVOLVIMENTO SUSTENTAVEL	435447	MINISTERIO DO DESENVOLVIMENTO AGRARIO	IRREGULARIDADES NA EXECUÇÃO
